,val_accuracy,accuracy,val_loss,loss
0,0.3958333432674408,0.6419752836227417,0.9551219940185547,0.7108972668647766
1,0.5833333134651184,0.5246913433074951,0.8460698127746582,0.8469986915588379
2,0.625,0.6172839403152466,0.6461707949638367,0.6780504584312439
3,0.6458333134651184,0.5925925970077515,0.6629716753959656,0.6333358287811279
4,0.6875,0.6296296119689941,0.6350443959236145,0.6455119252204895
5,0.75,0.6306818127632141,0.6343880295753479,0.6368916034698486
6,0.6458333134651184,0.6975308656692505,0.6523504257202148,0.5911800265312195
7,0.6875,0.6296296119689941,0.6125090718269348,0.6256463527679443
8,0.6458333134651184,0.6604938507080078,0.6345227956771851,0.6409004926681519
9,0.375,0.6913580298423767,0.7851174473762512,0.6361715793609619
